Cities,Giswg,Cufgisw,Hwp
Beijing,415,193,24.97
Tianjing,1739,1731,63.7
Hebei,34081,18880,357.46
Shanxi,42635,17150,213.98
Neimenggu,35117,12377,540.58
Liaoning,25526,11478,137.53
Jilin,4676,2407,197.02
Heilongjiang,6769,3166,118.54
Shanghai,1809,1702,131.91
Jiangsu,11870,10866,522.05
Zhejiang,4591,4546,444.79
Anhui,14012,12026,168.02
Fujian,6043,4016,138.55
Jiangxi,12083,5498,147.66
Shandong,24989,19612,933.35
Henan,15355,11468,212.31
Hubei,8987,6178,122.17
Hunan,4360,3270,218.63
Guangdong,6944,5631,418.21
Guangxi,9030,4389,252.21
Hainan,714,484,9.77
Chongqing,2272,1909,83.53
Sichuan,14903,5656,456.89
Guizhou,9516,6610,57.05
Yunnan,17473,9060,290.16
Xizang,1940,185,0.49
Shanxi,12430,6443,160.96
Gansu,5450,2804,157.63
Qinghai,15724,6892,319.65
Ningxia,6738,3117,97.77
Xinjiang,9354,4053,284.27
Cities,Giswg,Cufgisw,Hwp
Beijing,702,499,18.55
Tianjing,1602,1553,41.5
Hebei,33981,17690,196.76
Shanxi,43479,16281,165.73
Neimenggu,34841,9357,329.36
Liaoning,23287,10556,225.21
Jilin,6222,2691,242.24
Heilongjiang,8754,3883,68.36
Shanghai,1789,1681,112.41
Jiangsu,13610,12314,531.03
Zhejiang,5656,5038,391.03
Anhui,14068,12581,140.27
Fujian,7132,5075,101.52
Jiangxi,12406,5676,146.51
Shandong,28484,23152,854.01
Henan,17582,10206,184.61
Hubei,10746,7339,107.4
Hunan,6016,4460,630.52
Guangdong,8216,6734,343.09
Guangxi,9284,4765,248.43
Hainan,474,241,4.19
Chongqing,2496,1841,68
Sichuan,15221,5422,307.73
Guizhou,10671,5276,49.61
Yunnan,17115,7040,330.97
Xizang,760,16,0.15
Shanxi,12894,4861,126.67
Gansu,6094,2583,137.32
Qinghai,16082,9537,118.37
Ningxia,5291,1970,82.47
Xinjiang,11794,5841,277.11
Cities,Giswg,Cufgisw,Hwp
Beijing,710,592,14.99
Tianjing,1546,1524,12.57
Hebei,35372,19900,58.17
Shanxi,31794,17617,20.5
Neimenggu,26669,12306,155.32
Liaoning,32434,10029,72.27
Jilin,5385,2986,98.66
Heilongjiang,7495,4308,32.55
Shanghai,1868,1796,56.97
Jiangsu,10701,10207,255.31
Zhejiang,4486,4263,192.11
Anhui,13059,11763,89.43
Fujian,4956,3784,37.31
Jiangxi,10777,6152,71.34
Shandong,19798,18309,757.49
Henan,14722,11456,74.35
Hubei,7750,5253,59
Hunan,7126,4683,258.52
Guangdong,5609,5103,182.41
Guangxi,6977,4388,104.82
Hainan,422,268,4.01
Chongqing,2828,2424,45.23
Sichuan,12316,5507,111.94
Guizhou,7055,4289,38.55
Yunnan,14109,7189,223
Xizang,400,12,
Shanxi,9330,6102,57.96
Gansu,5824,3079,54.2
Qinghai,14868,7247,499.18
Ningxia,3430,2131,9.75
Xinjiang,7263,4133,328.16
